و,and,رو,مثال,پست
laugh,ضحک,other,father,beginning
cry,صیحه زدن,king,seen,ugly
lazy,سست بودن,end,sea,idle
industrious,کوشارو,ugly,petroleum,orient
stranger,نا محرم,open,old,idle
friend,دوست کردن,unknown,periodical,stay
strong,نیرومند,size,winter,Korea
weak,بی زور,right,early,Esfand
summer,تابستانی,former,Imam,family
winter,زمستانی,sweet,economy,same
sun,هور,other,busy,presence
moon,قمر,political party,olympic,importance
sweet,نوشین,south,outside,simple
sour,حامض کردن,son,include,there
beneath,زیر,Seine,execution,such a
above,بر روی,hard,careful,beginning
best,نیکوترین,usually,primary,reason
bitter,مر,imaginary,to,near
sweet,نوشین,ugly,king,exclude
black,ادهم,Sinai Mountain,Mehr,type
white,سفیدپوست,energy,route,bottom
bottom,ته,suggestion,small,in
top,بالا,designing,ugly,in
boy,پسر بچه,side,beautiful,known
girl,بنت,management,exist,Arab
brave,شیر افکن,new,city,social
scared,هراسانده,materials,sea,solar year
wet,مرطوب,approval,functions,old
dry,خشک,limited,Afghanistan,winter
certain,واثق,result,philosophy,cold
uncertain,بلا تکلیف,cold,history,report
happy,شاد,private,Britain,in
sad,رقت انگیز,ugly,ministry,prescription
city,شهر,time,some,tir
country,بوم,this,go,imprison
closed,بسته,bad,read,remembering
open,گشادن,January,play,income
cold,سرما,mean,series,found
hot,محرور,diary,summer,tir
on,به روی,foreigner,subsequent,book
off,مرخصی,primary,factors,green
young,برنا,after,easy,hundred
old,موسفید,side,new,strong
good,نیک,new,profession,literary
bad,بد,phantom,local,awak
small,کوچک,new,trohpy,birth
big,بیوک,person,include,big
beautiful,پریرو,middle,large,friend
ugly,نازیبا,palace,style,illegal
beautiful,پریرو,threshold,profession,writer
ugly,نازیبا,spouse,cry,isle
beautiful,پریرو,scientific,beginning,free
ugly,نازیبا,basis,young,known
easy,بی درد سر,shout,brave,New York
hard,مشکل,easy,last,project
early,زود,what,news,thereafter
late,دیروقت,world,go,real
asleep,خفته,ugly,hand,small
new,حادث,country,minute,such as
old,موسفید,decision,hard,execution
new,حادث,careful,laugh,Iran
old,موسفید,former,she,Esfehan
far,دور,relation,late,mountain
cheap,ارزان قیمت,Korea,friend,solar
expensive,ثمین,different,pond,side
idle,عاطل,story,sweet,Mr.
busy,مشغول,sea,royal,Internet
illegal,غیرقانونی,big,handle,court
lawful,بربستی,Persian,those,government
imaginary,تخیلی,six,north,news agency
real,راستین,England,thriving,start
imprison,زندانی کردن,spring,system,hard
free,بیعوض,relation,inspection,talented
include,حاوی بودن,river,such as,cold
exclude,مستثنی کردن,white,attack,announcement
left,چپ,sweet,too,queen
right,یمین,outside,fundamental,May
careful,با ملاحظه,awak,present,cold
careless,بی توجه,sun,imaginary,text
beginning,بدایت,Musavi,system,lazy
end,انقطاع یافتن,hot,state,town
beginning,بدایت,go,old,found
end,انقطاع یافتن,electric,incoming,newspaper
stay,نقطه اتکاء,northern,guitar,newspaper
go,رفتن,right,free will,itself
stop,توقف,ready,way,beautiful
go,رفتن,rate,imprison,explanation
straight,سهی,remembering,outside,topic
crooked,معوج,unconditional,type,zone
in,توی,table,Mr.,beneath
out,افشا شده,beginning,must,last
inside,به داخل,style,,old
outside,برونی,village,Mehdi,fulfillment
kind,مشفق,recent,industrious,there
mean,معنی بخشیدن,Paul,primary,exclude
king,سلطان,Musavi,in,England
queen,شهبانو,life,first,thereafter
knowledge,دانش,first,guidance,sweet
ignorance,جهل,civil,speed,only
known,برملا,energy,club,Kurdistan
unknown,مجهول,England,flight,above
large,سترگ,energy,present,increase
small,کوچک,friend,finished,release
last,پایستن,approval,first,but also
first,نزست,upon,beginning,young
laugh,ضحک,spots,sake,museum
cry,صیحه زدن,with,Mordad,open
lazy,سست بودن,uncertain,brave,city
industrious,کوشارو,structure,under,agreement
stranger,نا محرم,queen,first,hot
friend,دوست کردن,release,straight,age of
strong,نیرومند,certain,school,mother
weak,بی زور,murdered,best,news
summer,تابستانی,,Kurdistan,young
winter,زمستانی,moon,stay,eight
sun,هور,importance,complete,off
moon,قمر,free,management,receipt
sweet,نوشین,with,went,prescription
sour,حامض کردن,scared,hard,use
beneath,زیر,sun,first,Ahmed
above,بر روی,first,principles,agreement
best,نیکوترین,instruction,Afghanistan,report
bitter,مر,successful,orchard,July
sweet,نوشین,that is,ignorance,loaded
black,ادهم,look,numbers,such as
white,سفیدپوست,phantom,counted,small
bottom,ته,variation,transplantation,under
top,بالا,spouse,start,small
boy,پسر بچه,plan,city,state
girl,بنت,polishing,Kurdish,attack
brave,شیر افکن,to,imprison,Islamic
scared,هراسانده,economy,king,but also
wet,مرطوب,without,closed,list
dry,خشک,including,central,play
certain,واثق,December,former,winter
uncertain,بلا تکلیف,out,old,rule
happy,شاد,manner,release,agreement
sad,رقت انگیز,paying attention,street,sediment
city,شهر,relation,sentence,affairs
country,بوم,free,sweet,through
closed,بسته,Internet,inequality,wealthy
open,گشادن,hundred,happy,out
cold,سرما,twenty,mother,awak
hot,محرور,transplantation,hot,God
on,به روی,industrious,New York,industrious
off,مرخصی,principles,movie theater,unknown
young,برنا,view,weight,city
old,موسفید,Dollar,ancient.,independent
good,نیک,truth,hard,requirement
bad,بد,awak,illegal,king
small,کوچک,provision,similar to,early
big,بیوک,correlated,go,uncertain
beautiful,پریرو,boy,united,story
ugly,نازیبا,weight,asleep,we
beautiful,پریرو,weak,sun,probability
ugly,نازیبا,surrounding,lawful,Mohammad Reza
beautiful,پریرو,Mr.,Mordad,covering
ugly,نازیبا,late,hard,land
easy,بی درد سر,street,seizure,Greece
hard,مشکل,known,include,Korea
early,زود,statistics,summer,white
late,دیروقت,defense,Islamic,made
asleep,خفته,soil,free,hot
new,حادث,ministry,stem,club
old,موسفید,hot,little,beginning
new,حادث,state,cold,stay
old,موسفید,February,local,independence
far,دور,Khorasan,victory,lunar
cheap,ارزان قیمت,original,off,portrait
expensive,ثمین,summer,thriving,after
idle,عاطل,scared,outside,counted
busy,مشغول,religious,weak,announcement
illegal,غیرقانونی,death,one,lack
lawful,بربستی,because,types,strong
imaginary,تخیلی,strong,Ziad,first
real,راستین,science,tower,inspection
imprison,زندانی کردن,girl,friend,probability
free,بیعوض,go,family,decade
include,حاوی بودن,kind,cheap,kind
exclude,مستثنی کردن,actress,private,interpretation
left,چپ,work,strong,profit
right,یمین,yet,publishing,fracture
careful,با ملاحظه,queen,wealthy,list
careless,بی توجه,stage manager,center,similar
beginning,بدایت,street,on,far
end,انقطاع یافتن,way,lazy,reply
beginning,بدایت,incoming,stay,laugh
end,انقطاع یافتن,Iran,best,lawful
stay,نقطه اتکاء,ceremony,several,perception
go,رفتن,country,town,bad
stop,توقف,center,dam,winter
go,رفتن,ugly,spreading,ton
straight,سهی,stage,top,guitar
crooked,معوج,Gilan,minute,
in,توی,strength,weight,their
out,افشا شده,under,Esfand,Rome
inside,به داخل,include,tower,new
outside,برونی,sign,go,today
kind,مشفق,local,knowledge,large
mean,معنی بخشیدن,ugly,station,life
king,سلطان,receipt,ugly,such as
queen,شهبانو,Mr.,the same,new
knowledge,دانش,center,palace,old
ignorance,جهل,today,demise,beginning
known,برملا,finding,salary,plan
unknown,مجهول,chemical,sun,sometimes
large,سترگ,specially for,word,foundation
small,کوچک,Meshed,stop,Akbar
last,پایستن,king,scared,expensive
first,نزست,office,awak,Soviet Union
laugh,ضحک,zinc,station,area
cry,صیحه زدن,subsequent,ship,regarding
lazy,سست بودن,division,cheap,without
industrious,کوشارو,Saudi Arabia,tongue,children
stranger,نا محرم,bad,new,good
friend,دوست کردن,valley,second,than
strong,نیرومند,personality,such as,marriage
weak,بی زور,original,history,Mosque
summer,تابستانی,standard,report,everybody
winter,زمستانی,look,mud,rank
sun,هور,tower,seizure,currently
moon,قمر,time,correlated,children
sweet,نوشین,gloomy,prevention,mean
sour,حامض کردن,instruction,truth,Omar
beneath,زیر,system,Greek,profit
above,بر روی,end,large,receipt
best,نیکوترین,February,Dollar,length
bitter,مر,awak,street,trust
sweet,نوشین,transfer,sheik,television
black,ادهم,known,mathematics,technical
white,سفیدپوست,off,passing,orchard
bottom,ته,Internet,book,last
top,بالا,first,increase,far
boy,پسر بچه,first,what,expression
girl,بنت,position,top,do
brave,شیر افکن,free,relations,asleep
scared,هراسانده,ugly,Abdullah,society
wet,مرطوب,announcement,with,Masood
dry,خشک,contemporary,late,scattering
certain,واثق,ugly,asleep,January
uncertain,بلا تکلیف,table,market,lazy
happy,شاد,unknown,first,sweet
sad,رقت انگیز,dry,sale,diplomatic
city,شهر,rewards,that,ten
country,بوم,national,but,asleep
closed,بسته,recognition,knowledge,Seine
open,گشادن,Egypt,team,spirit
cold,سرما,those,beginning,age of
hot,محرور,easy,valve,closed
on,به روی,king,service,gone
off,مرخصی,new,old,everybody
young,برنا,happy,works,exclude
old,موسفید,transformation,Kurdistan,ship
good,نیک,third,stay,careless
bad,بد,presence,left,subsequent
small,کوچک,increase,approval,country
big,بیوک,imperial,limits,moon
beautiful,پریرو,lawful,project,victory
ugly,نازیبا,some,old days,reply
beautiful,پریرو,free,A.D.,situation
ugly,نازیبا,rule,story,result
beautiful,پریرو,weak,Mordad,participation
ugly,نازیبا,weight,way,trohpy
easy,بی درد سر,services,hard,management
hard,مشکل,ugly,title,Soviet Union
early,زود,conflict,motive,far
late,دیروقت,give,definition,hard
asleep,خفته,worst,little,loaded
new,حادث,likeness,best,with
old,موسفید,news,literary,because
new,حادث,A.D.,meter,those
old,موسفید,cheap,beginning,contrary
far,دور,beginning,sweet,imprison
cheap,ارزان قیمت,designing,good,girl
expensive,ثمین,nations,she,knowledge
idle,عاطل,child,decision,spring
busy,مشغول,face,industry,space
illegal,غیرقانونی,kindness,some,sour
lawful,بربستی,phantom,Hasan,superior
imaginary,تخیلی,view,if,manager
real,راستین,friend,imprison,beneath
imprison,زندانی کردن,north,architecture,include
free,بیعوض,defense,various,new
include,حاوی بودن,bad,lazy,left
exclude,مستثنی کردن,intensity,poet,saying
left,چپ,often,division,fresh
right,یمین,busy,closed,known
careful,با ملاحظه,novel,some,Canada
careless,بی توجه,season,cry,mold
beginning,بدایت,project,stranger,seaport
end,انقطاع یافتن,end,treatment,stage manager
beginning,بدایت,uncertain,records,finished
end,انقطاع یافتن,station,king,worst
stay,نقطه اتکاء,hot,include,beginning
go,رفتن,real,million,spouse
stop,توقف,sun,night,Canada
go,رفتن,records,yet,Korea
straight,سهی,private,iron,given
crooked,معوج,new,against,free
in,توی,province,real,Ordibehesht
out,افشا شده,too,basis,hajji
inside,به داخل,January,inside,news agency
outside,برونی,ship,trade,intensity
kind,مشفق,Germany,London,orient
mean,معنی بخشیدن,boy,ceremony,shine
king,سلطان,in,finding,Mohammed
queen,شهبانو,February,october,primitive
knowledge,دانش,expansion,perception,ugly
ignorance,جهل,seen,obstruction,she
known,برملا,white,become,poet
unknown,مجهول,proximity,Turkey,worldwide
large,سترگ,volume,best,murder
small,کوچک,visage,local,sweet
last,پایستن,political party,zone,beautiful
first,نزست,various,gone,last
laugh,ضحک,left,style,south
cry,صیحه زدن,finding,Italy,old
lazy,سست بودن,what,historic,near
industrious,کوشارو,before,French,right
stranger,نا محرم,Iran,perception,knowledge
friend,دوست کردن,bitter,area,security
strong,نیرومند,unique,special,resumption
weak,بی زور,low,chemical,illegal
summer,تابستانی,severe,including,library
winter,زمستانی,role,,oriental
sun,هور,above,computer,center
moon,قمر,residential,by,today
sweet,نوشین,winter,technical,portrait
sour,حامض کردن,knowledge,view,providing
beneath,زیر,stage,free,beginning
above,بر روی,conditions,careless,collection
best,نیکوترین,tool,beneath,domain
bitter,مر,kind,March,energy
sweet,نوشین,system,union,state
black,ادهم,beneath,profit,discovery
white,سفیدپوست,known,institution,stranger
bottom,ته,late,land,far
top,بالا,,death,cause
boy,پسر بچه,weak,,motor
girl,بنت,subordinate,specific,plan
brave,شیر افکن,strong,center,rural district
scared,هراسانده,than,october,situation
wet,مرطوب,people,industrious,same
dry,خشک,writer,sour,no
certain,واثق,Afghanistan,science,sultan
uncertain,بلا تکلیف,too,one,Rome
happy,شاد,iron,reason,up
sad,رقت انگیز,but,probability,festival
city,شهر,too,friend,space
country,بوم,God,queen,previous
closed,بسته,right,import,asleep
open,گشادن,thermometer,they,percentage
cold,سرما,river,beneath,cheap
hot,محرور,meter,something,to
on,به روی,famous people,intensity,whoever
off,مرخصی,have,with,careful
young,برنا,open,point,busy
old,موسفید,two,Shahrivar,that
good,نیک,threshold,relation,protection
bad,بد,uncertain,Egypt,market
small,کوچک,inside,ancient,scared
big,بیوک,wet,return,protection
beautiful,پریرو,known,include,early
ugly,نازیبا,hospital,based on,under
beautiful,پریرو,exclude,America,office
ugly,نازیبا,top,four,currently
beautiful,پریرو,position,only,table
ugly,نازیبا,end,winning,real
easy,بی درد سر,April,seven,after
hard,مشکل,structure,top,small
early,زود,security,published,gauze
late,دیروقت,center,scared,old
asleep,خفته,mother,problems,black
new,حادث,speed,type,public
old,موسفید,public,big,weather
new,حادث,hospital,rank,local
old,موسفید,diplomatic,mathematics,what
far,دور,through,so far,sun
cheap,ارزان قیمت,Omar,area,sign
expensive,ثمین,old,thereafter,release
